,RF Acc,Determinacy,Single Acc,Set Acc,Set Size,U65,U80,RF Abstention Acc,Abstention Corr
ecoli,0.783511586452763,0.8709447415329767,0.8144671781756181,0.9359375,2.046875,0.7777213309566251,0.7937967914438503,0.6984375,0.9359375
balance_scale,0.8049923195084485,0.9075524833589348,0.8598535156412822,0.6775132275132275,2.022222222222222,0.8217123229220002,0.831490015360983,0.2674603174603175,0.6775132275132275
vehicle,0.7445658263305323,0.6689635854341736,0.8853872593845189,0.9024263813240527,2.044462493677264,0.7816234827264237,0.8262535014005599,0.4731181653470088,0.9024263813240527
vowel,0.6535353535353534,0.7434343434343436,0.729074762962002,0.718041778041778,2.049892584892585,0.6589393939393938,0.6870707070707068,0.41045985545985547,0.718041778041778
wine_quality,0.5790919811320755,0.4315133647798741,0.6851355534408216,0.8672841025419864,2.0189376763618676,0.6116761661425583,0.6854205974842759,0.4968547510159585,0.8672841025419864
optdigits,0.9695,0.9869999999999999,0.9761820084675206,0.8018518518518518,2.0277777777777777,0.9703250000000001,0.9719000000000001,0.5074074074074074,0.8018518518518518
segment,0.9805194805194806,0.9831168831168832,0.988591797501026,0.7892857142857144,2.085714285714286,0.9802236652236653,0.9821645021645022,0.5011904761904763,0.7892857142857144
waveform,0.8552,0.8318000000000001,0.901228824397583,0.9990990990990991,2.0018108816781384,0.8581266666666654,0.8833200000000014,0.6205662816633295,0.9990990990990991
letter,0.9657,0.9946999999999999,0.9683392495333317,0.8171255827505828,2.0265016233766233,0.9658050000000001,0.96641,0.34333728771228766,0.8171255827505828
